web-scraper-order,web-scraper-start-url,link,link-href,title,author,description,genres,isbn,location,cover,date
1613084391-3510,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,In the Beginning...Was the Command Line,https://www.goodreads.com/book/show/18937.In_the_Beginning_Was_the_Command_Line,In the Beginning...Was the Command Line,Neal Stephenson,null,Writing,9780380815937,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407709658l/18937.jpg,(first published May 1999)
1613084232-3271,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",https://www.goodreads.com/book/show/56825.Insanely_Great,"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",Steven Levy,null,Nonfiction,9780140291773,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924623l/56825.jpg,(first published July 5th 1993)
1613083698-2654,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Inside Intel: Andy Grove and the Rise of the World's Most Powerful Chip Company,https://www.goodreads.com/book/show/493181.Inside_Intel,Inside Intel: Andy Grove and the Rise of the World's Most Powerful Chip Company,Tim Jackson,null,History,9780452276437,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387738557l/493181.jpg,(first published April 1997)
1613084023-3058,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Inside Steve's Brain,https://www.goodreads.com/book/show/2363692.Inside_Steve_s_Brain,Inside Steve's Brain,Leander Kahney,null,Business,9781591841982,Cupertino,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440892053l/2363692._SX318_.jpg,(first published January 1st 2008)
1613084301-3387,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,https://www.goodreads.com/book/show/9319468-kingpin,Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,Kevin Poulsen,null,Technology,9780307588685,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320477825l/9319468.jpg,null
1613083589-2541,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way",https://www.goodreads.com/book/show/211099.Losing_My_Virginity,"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way",Richard Branson,null,Management,9780812932294,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388216295l/211099.jpg,(first published 1998)
1613084008-3023,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Marissa Mayer and the Fight to Save Yahoo!,https://www.goodreads.com/book/show/22608584-marissa-mayer-and-the-fight-to-save-yahoo,Marissa Mayer and the Fight to Save Yahoo!,Nicholas Carlson,null,Business,null,San Francisco,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409613156l/22608584.jpg,null
1613083882-2853,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Nightwork: A History of Hacks and Pranks at MIT,https://www.goodreads.com/book/show/12173.Nightwork,Nightwork: A History of Hacks and Pranks at MIT,T.F. Peterson,null,Academic,9780262661379,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347525378l/12173.jpg,null
1613083900-2878,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",https://www.goodreads.com/book/show/18213403-no-place-to-hide,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",Glenn Greenwald,null,Biography,9781627790734,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383352779l/18213403.jpg,null
1613083891-2872,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,On the Edge: The Spectacular Rise and Fall of Commodore,https://www.goodreads.com/book/show/412006.On_the_Edge,On the Edge: The Spectacular Rise and Fall of Commodore,Brian  Bagnall,null,Nerd,9780973864908,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328861455l/412006.jpg,(first published September 14th 2005)
1613084052-3099,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,"Once You're Lucky, Twice You're Good: The Rebirth of Silicon Valley and the Rise of Web 2.0",https://www.goodreads.com/book/show/2288436.Once_You_re_Lucky_Twice_You_re_Good,"Once You're Lucky, Twice You're Good: The Rebirth of Silicon Valley and the Rise of Web 2.0",Sarah Lacy,null,Technology,9781592403820,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437664392l/2288436._SY475_.jpg,null
1613084076-3124,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Options: The Secret Life of Steve Jobs,https://www.goodreads.com/book/show/1110713.Options,Options: The Secret Life of Steve Jobs,Fake Steve Jobs,null,Comedy,9780306815843,Cupertino,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442080198l/1110713._SY475_.jpg,(first published October 18th 2007)
1613083811-2764,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Planet Google: One Company's Audacious Plan to Organize Everything We Know,https://www.goodreads.com/book/show/3839314-planet-google,Planet Google: One Company's Audacious Plan to Organize Everything We Know,Randall E. Stross,null,Business,9781416546917,Mountain View,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348605830l/3839314.jpg,(first published January 1st 2008)
1613083929-2920,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Revolution in The Valley: The Insanely Great Story of How the Mac Was Made,https://www.goodreads.com/book/show/40492.Revolution_in_The_Valley,Revolution in The Valley: The Insanely Great Story of How the Mac Was Made,Andy Hertzfeld,null,Literature,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388288490l/40492.jpg,(first published December 6th 2004)
1613084127-3182,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Show Stopper!: The Breakneck Race to Create Windows NT and the Next Generation at Microsoft,https://www.goodreads.com/book/show/1416925.Show_Stopper_,Show Stopper!: The Breakneck Race to Create Windows NT and the Next Generation at Microsoft,G. Pascal Zachary,null,Computer Science,9780029356715,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442369390l/1416925._SY475_.jpg,null
1613083830-2781,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Silicon Snake Oil: Second Thoughts on the Information Highway,https://www.goodreads.com/book/show/208384.Silicon_Snake_Oil,Silicon Snake Oil: Second Thoughts on the Information Highway,Clifford Stoll,null,Nonfiction,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449509l/208384.jpg,(first published 1995)
1613083844-2801,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,"Social State: Thoughts, Stats and Stories about the State of Social Media in 2013",https://www.goodreads.com/book/show/17210807-social-state,"Social State: Thoughts, Stats and Stories about the State of Social Media in 2013",Esteban Contreras,null,Nonfiction,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357415534l/17210807.jpg,null
1613084208-3267,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Startup,https://www.goodreads.com/book/show/17993963-startup,Startup,Glenn Ogura,null,Fiction,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370221109l/17993963.jpg,null
1613084065-3116,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Age of Spiritual Machines: When Computers Exceed Human Intelligence,https://www.goodreads.com/book/show/83533.The_Age_of_Spiritual_Machines,The Age of Spiritual Machines: When Computers Exceed Human Intelligence,Ray Kurzweil,null,Sociology,9780140282023,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309284708l/83533.jpg,(first published December 28th 1998)
1613083756-2722,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,"The Big Switch: Rewiring the World, from Edison to Google",https://www.goodreads.com/book/show/16241165-the-big-switch,"The Big Switch: Rewiring the World, from Edison to Google",Nicholas Carr,null,History,9780393345223,Mountain View,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367516473l/16241165.jpg,(first published January 17th 2008)
1613084222-3270,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Boiler Plot,https://www.goodreads.com/book/show/15837974-the-boiler-plot,The Boiler Plot,Emily McDaid,null,,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345470770l/15837974.jpg,null
1613084331-3444,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary,https://www.goodreads.com/book/show/134825.The_Cathedral_the_Bazaar,The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary,Eric S. Raymond,null,Science,9780596001087,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328835964l/134825.jpg,(first published October 1999)
1613084259-3328,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet,https://www.goodreads.com/book/show/29608.The_Codebreakers,The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet,David Kahn,null,Computers,9780684831305,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492339589l/29608._SY475_.jpg,(first published January 1st 1963)
1613083853-2815,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Difference Engine : Charles Babbage And The Quest To Build The First Computer,https://www.goodreads.com/book/show/1403028.The_Difference_Engine_,The Difference Engine : Charles Babbage And The Quest To Build The First Computer,Doron Swade,null,Mathematics,9780670910205,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428140069l/1403028.jpg,(first published April 13th 2000)
1613083718-2676,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Everything Store: Jeff Bezos and the Age of Amazon,https://www.goodreads.com/book/show/17660462-the-everything-store,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,null,Business,9780316219266,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365394361l/17660462.jpg,null
1613084454-3538,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Facebook Effect: The Inside Story of the Company That is Connecting the World,https://www.goodreads.com/book/show/7518289-the-facebook-effect,The Facebook Effect: The Inside Story of the Company That is Connecting the World,David   Kirkpatrick,null,Technology,9781439102114,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442657421l/7518289._SY475_.jpg,(first published 2010)
1613084276-3345,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Future of Ideas: The Fate of the Commons in a Connected World,https://www.goodreads.com/book/show/72012.The_Future_of_Ideas,The Future of Ideas: The Fate of the Commons in a Connected World,Lawrence Lessig,null,Nonfiction,9780375726446,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403185621l/72012.jpg,(first published 2001)
1613083629-2586,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Future of the Internet and How to Stop It,https://www.goodreads.com/book/show/2442173.The_Future_of_the_Internet_and_How_to_Stop_It,The Future of the Internet and How to Stop It,Jonathan L. Zittrain,null,History,9780300124873,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328828182l/2442173.jpg,(first published January 1st 2008)
1613083737-2702,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Garden of the World,https://www.goodreads.com/book/show/13229169-the-garden-of-the-world,The Garden of the World,Lawrence Coates,null,Fiction,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344711843l/13229169.jpg,null
1613084268-3333,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,https://www.goodreads.com/book/show/61182.The_Hacker_Crackdown,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Bruce Sterling,null,Computer Science,9780553563702,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446384046l/61182._SY475_.jpg,(first published November 1st 1992)
